Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
Aventurine Chromium Green,5,Green,,Gloss,Oxidation,Transparent,Fusion Frit F-245	52.00,Custer feldspar	20.00,Barium carbonate	16.00,Silica	12.00,Copper carbonate	1.50,Chromium oxide	1.00,Macaloid	1.00,,,,,,,
Aventurine Sparkling Mint,5,Green,,Gloss,Oxidation,Transparent,Frit 3278	52.00,Barium carbonate	16.00,Kaolin	16.00,Silica	16.00,Copper carbonate	2.00,Chromium oxide	1.50,Macaloid	1.00,,,,,,,
Aventurine Metallic Copper,5,,,Gloss,Oxidation,Transparent,Fusion Frit F-79	40.00,Barium carbonate	48.00,Silica	12.00,Sodium bicarbonate	8.00,Copper carbonate	1.00,Chromium oxide	1.50,Macaloid	1.00,,,,,,,
Aventurine Apple Green,5,,,Gloss,Oxidation,Transparent,Fusion Frit F-15	70.00,Barium carbonate	30.00,Chromium oxide	1.80,Macaloid	1.00,,,,,,,,,,
Aventurine Circular Dot,5,Brown,,Gloss,Oxidation,Transparent,Nepheline syenite	24.00,Sodium bicarbonate	29.00,Whiting	11.00,Silica	36.00,Fluorspar	2.00,Macaloid	1.00,Red iron oxide	22.00,,,,,,,
Aventurine Iron Variation,5,Brown,,Gloss,Oxidation,Transparent,Sodium bicarbonate	49.00,Bentonite	25.00,Whiting	4.00,Silica	22.00,Red iron oxide	21.00,,,,,,,,,
Aventurine Blue-Green,5,blue-green,,Gloss,Oxidation,Transparent,Fusion Frit F-496	15.00,Custer feldspar	21.00,Whiting	17.00,Strontium carbonate	15.00,Kaolin	7.00,Silica	25.00,Copper carbonate	4.50,Chromium oxide	1.50,,,,,,
Aventurine Blue Green,5,Blue-green,,Gloss,Oxidation,Transparent,Fusion Frit F-15	70.00,Barium carbonate	30.00,Copper carbonate	2.00,Chromium oxide	1.50,Macaloid	1.00,,,,,,,,,
Green Dragon Matt,6,Turquoise,,Matt,Oxidation,,Whiting	18.00,Zinc oxide	8.00,Cornwall Stone	22.00,Soda spar	44.00,EPK	3.00,Bentonite	5.00,Titanium dioxide	4.00,Copper carbonate	4.00,,,,,,
Ash Frasca,6,Turquoise,,Matt,Oxidation,,Whiting	11.00,Ash wood	56.00,Potash feldspar	11.00,Ball clay	11.00,Silica	11.00,Copper carbonate	4.00,,,,,,,,
Bronze Aqua Lana Wilson,6,,,,Oxidation,,Strontium carbonate	50.00,Nepheline syenite	50.00,Gerstley borate	2.50,Bentonite	3.00,Copper carbonate	4.00,,,,,,,,,
Lichen Bell's,6-8,,,Lichen,Oxidation,Opaque,Magnesium carbonate	31.00,Talc theoretical	8.00,Zinc oxide	6.00,Frit P-25	6.00,Soda spar	30.00,Kaolin	19.00,,,,,,,,
new glaze,,,,,,,,,,,,,,,,,,,,
Eggshell recalc,6,,,Matt,Oxidation,,Whiting	16.00,Dolomite	0.90,Zinc oxide	5.30,Frit 3195	24.80,Potash feldspar - theoretical	32.80,Kaolin - theoretical	0.30,Silica	19.90,Tin oxide	9.00,Red iron oxide	3.00,,,,,
Eggshell,6,,,Matt,Oxidation,,Whiting	9.50,Zinc oxide	5.50,Frit 3124	44.50,Custer feldspar	20.00,Bentonite	7.50,EPK	5.00,Silica	8.00,Tin oxide	9.00,Red iron oxide	3.00,,,,,
Slip Ron Meyers,02,White,,Unglazed,Ox. or Red.,Opaque,EPK	31.34,Kentucky OM #4	18.00,potspar	24.89,Flint	17.51,Zircopax Plus	7.37,Soda ash	0.23,Sodium silicate	0.23,,,,,,,
Slip #1818 Kawai,6 - 10,White,,Unglazed,Ox. or Red.,Opaque,Kaolin	80.00,Grog (150 mesh)	20.00,,,,,,,,,,,,
1213P Calcium Matte,5,,,matte,,,Wollastonite	33.90,Ferro frit 3134	21.10,Kaolin	45.00,,,,,,,,,,,
1213P Calcium Matte calc problem,5,,,matte,,,Wollastonite	36.60,Gerstley borate	10.70,Kaolin - theoretical	35.10,Custer feldspar	16.40,Silica	0.04,,,,,,,,,
2nd Edition Indian Red,6,iron red brown,,Semi-gloss,Ox. or Red.,Opaque,Potash feldspar	40.00,Zinc oxide	4.00,Dolomite	3.00,Whiting	15.00,China clay	5.00,Silica	33.00,chrome oxide	0.50,Red iron oxide	4.00,,,,,,
5-20's Tony Hansen,6 - 8,clear,,glossy,oxidation,,EPK	20.00,Custer feldspar	20.00,Wollastonite	20.00,Frit 3134	20.00,Flint	20.00,,,,,,,,,
974 Kawai Celadon,6 - 8,Translucent Green,,shiny glossy,Reduction,Transparent,Potash feldspar	62.24,Whiting	7.61,China clay	4.97,Silica	25.18,Black iron oxide	1.52,,,,,,,,,
Albany Black,5 - 6,black,Untested,Semi-gloss,Ox. or Red.,Opaque,Albany Slip	75.00,Nepheline syenite	20.00,Gerstley borate	5.00,Cobalt oxide	5.00,,,,,,,,,,
Alfred Spodumene B.J.,6,Tan/Brown/White,,Matt,Reduction,Opaque,Kona F-4 feldspar	20.00,Custer feldspar	20.00,Spodumene	20.00,Dolomite	20.00,Whiting	5.00,Kaolin	15.00,Tin oxide	4.00,,,,,,,
Almond St. Helens,6,almond yellow,,Satin matt,Oxidation,Opaque,Custer spar	40.00,Zinc oxide	8.60,Whiting	14.90,EPK	11.80,Flint	4.70,Volcanic ash - Mt. St. Helens	20.00,Rutile	8.00,,,,,,,
Amber,6-8,Amber,Untested,,Oxidation,,Custer feldspar	30.27,Whiting	25.65,Silica	36.53,EPK	7.55,Red iron oxide	11.66,,,,,,,,,
Amber Ash Glaze,6,Amber,,gloss,Oxidation,,Cedar Heights Redart	40.00,Ferro frit 3124	30.00,Ash wood	30.00,Rutile	4.00,,,,,,,,,,
Amber Brown Dark Rich,6,Brown,,,Oxidation,Translucent,Gerstley borate	46.70,EPK	22.90,Flint	30.40,Bone ash	0.20,Red iron oxide	10.00,,,,,,,,,
Amber Honey,5 - 6,Amber,,glossy,,,Dolomite	20.00,Ferro frit 3134	20.00,Spodumene	20.00,Kentucky OM #4	20.00,Flint	20.00,Bentonite	2.00,Manganese dioxide	3.00,Red iron oxide	5.00,,,,,,
Amber New Tyler,6,amber,Untested,gloss,oxidation,,Ferro Frit 3110	20.00,Red clay	60.00,Gerstley borate	20.00,,,,,,,,,,,
Amber New Tyler,6,amber,Untested,gloss,oxidation,,Ferro Frit 3110	20.00,Red clay	60.00,Gerstley borate	20.00,,,,,,,,,,,
Apricot/Beige MMI,6,apricot/beige,,Semi matt,Oxidation,,Potash feldspar	28.18,Whiting	18.18,Talc	9.09,Kaolin	26.36,Silica	9.09,Zinc oxide	9.09,chrome oxide	1.82,Cobalt carbonate	0.23,,,,,,
Apricot/Tan MMM,6,apricot/tan,Untested,Semi matt,oxidation,,Potash feldspar	28.18,Whiting	18.18,Talc	9.09,Kaolin	26.36,Silica	9.09,Zinc oxide	9.09,Iron oxide	0.45,chrome oxide	1.82,,,,,,
Aqua V.C. Karen Starshine,6,Blue Green,Untested,Glossy or shiny,Ox. or Red.,Opaque,K-200 feldspar	46.00,Soda ash	5.00,Gerstley borate	12.00,Whiting	10.00,Barium carbonate	5.00,Lithium carbonate	2.00,Flint	20.00,Macaloid	2.00,Titanium dioxide	4.00,Copper carbonate	5.00,,,,
Ash Barium Boron,6 - 8,base,,,,,Wood ash	24.07,Barnard clay	20.37,Custer feldspar	28.40,Gerstley borate	13.58,Barium carbonate	9.88,Zinc oxide	3.70,Copper carbonate	1.85,,,,,,,
