Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
1 2 3 Clear,08 - 06,Transparent Clear,Untested,Shiny or Glossy,Raku,,Gerstley borate	50.00,EPK	33.33,Silica	16.67,,,,,,,,,,,
Alligator Raku,06-04,,,,Raku,Opaque,Gerstley borate	80.00,Bone ash	20.00,Copper carbonate	5.00,Cobalt oxide	2.00,,,,,,,,,,
Alligator Raku Variation,06-04,,,,Raku,Opaque,Gerstley borate	57.00,Bone ash	29.00,Nepheline syenite	14.00,Copper carbonate	14.00,,,,,,,,,,
Andy's Blue Pharoah,08 - 06,Transparent Blue Green,Untested,Glossy or shiny,Raku,,Sodium bicarbonate	26.30,Soda ash	26.30,Gerstley borate	31.60,Frit 5301	15.80,Ultrox	10.00,Copper carbonate	3.00,Cobalt carbonate	0.20,,,,,,,
Base Glaze,06,Yellow,,,Raku,,Colemanite	80.00,Nepheline syenite	20.00,,,,,,,,,,,,
Black Raku,08 - 04,Black,Untested,,Raku,,EPK	400.00,Colemanite	6400.00,Nepheline Sye	800.00,Flint	400.00,Zircopax	80.00,Iron oxide	240.00,Cobalt oxide	160.00,Copper oxide	160.00,,,,,,
Blue Hawaiian Copper,06,blue-green,,,Raku,,Bone ash	20.00,Gerstley borate	80.00,Tin oxide	1.30,Copper carbonate	5.00,Cobalt oxide	2.50,,,,,,,,,
Blue Black Purple,08 - 06,silver blue to silver bronze,Untested,,Raku,,Gerstley borate	50.00,Nepheline syenite	50.00,Copper carbonate	50.00,Rutile	50.00,,,,,,,,,,
Blue Black Purple,08 - 06,silver blue to silver bronze,Untested,,Raku,,Gerstley borate	250.00,Nepheline syenite	250.00,Copper carbonate	250.00,Rutile	250.00,,,,,,,,,,
Blue Raku,08 - 04,Blue,Untested,Shiny or Glossy,Raku,,EPK	400.00,Frit 3110	5200.00,Colemanite	1600.00,Flint	400.00,Soda ash	400.00,Copper carbonate	240.00,,,,,,,,
burgundy red Very dry matt,08 - 06,burgandy red,,dry matte,Raku,Opaque,Gerstley borate	50.00,Nepheline syenite	20.00,Talc	30.00,Copper carbonate	3.00,,,,,,,,,,
Carole's Perfect White,08 - 06,,Untested,?,Raku,,Colemanite	263.10,Lithium carbonate	52.70,Nepheline syenite	157.90,EPK	26.30,Tin oxide	26.30,,,,,,,,,
Carole's Perfect White,08 - 06,,Untested,?,Raku,,Colemanite	52.63,Lithium carbonate	10.53,Nepheline syenite	31.58,EPK	5.26,Tin oxide	5.26,,,,,,,,,
Clay Raku Timock,06-04,,,Unglazed,Raku,,Fire clay	40.00,Ball clay	10.00,Talc	20.00,GoldArt	15.00,"Grog, med	25.00",nylon fiber	0.05,,,,,,,,
Clear (Soldner's),08 - 06,,Untested,,Raku,,Colemanite	80.00,Nepheline syenite	20.00,,,,,,,,,,,,
Clear Raku,08 - 04,Clear,Untested,Shiny or Glossy,Raku,,Frit 3110	842.00,Nepheline Sye	842.00,Colemanite	4210.00,Borax	2106.00,,,,,,,,,,
Copper Blue Hawaiian,08 - 06,turquoise blue,,,,,Bone ash	20.00,Gerstley borate	80.00,Tin oxide	1.30,Copper carbonate	5.00,Cobalt oxide	2.50,,,,,,,,,
Copper Crap Patty's,08 - 06,,Untested,?,Raku,,Gerstley borate	75.00,C-6 Soda Feldspar	20.00,Borax	5.00,Copper carbonate	5.00,,,,,,,,,,
Copper Matt Hasselle,08 - 06,varied,,matte,,,Ball clay	20.00,Copper oxide	80.00,Bentonite	3.00,,,,,,,,,,,
Copper Matte,08 - 06,varies,,matte,,,Ferro frit 3110	100.00,Copper carbonate	400.00,Bentonite	25.00,,,,,,,,,,,
