Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
06 Clear,06,Transparent Clear,Untested,Glossy or shiny,Oxidation,,Frit 3134	55.00,Kona F-4 feldspar	20.00,Flint	15.00,Bentonite	10.00,,,,,,,,,,
Alkaline Blue Bruce's,08 - 06,deep blue green,Untested,"Smooth, frosty",Oxidation,Translucent,Flint	52.90,Lithium carbonate	31.80,Kaolin	5.80,Gerstley borate	9.50,Copper carbonate	3.70,Bentonite	2.10,,,,,,,,
Alkaline Blue Gill's,04,Blue,Untested,Glossy,Oxidation,Transparent,Gerstley borate	5.80,EPK	7.20,Frit 3110	76.90,Flint	10.10,Copper carbonate	3.00,Cobalt Stain	1.00,,,,,,,,
Alkaline Copper Van Winkle G3020,04,Clear,,Gloss,Oxidation,Transparent,Frit 3110	55.00,Flint	20.00,Frit 5301	15.00,Tennessee ball clay	10.00,,,,,,,,,,
Alkaline DeepTurquoise,03,Turquoise,Tested,Glossy or shiny,Oxidation,Transparent,Frit 3195	18.10,Frit 3110	54.30,Gerstley borate	9.52,EPK	8.56,Flint	9.52,Copper carbonate	4.76,Bentonite	2.00,,,,,,,
Alkaline DeepTurquoise Recalc1,03,Turquoise,Tested,Glossy or shiny,Oxidation,Transparent,Frit 3134	37.10,Frit 3293	42.80,Dolomite	0.04,Whiting	0.30,Kaolin - theoretical	13.30,Silica	6.40,Bone ash	0.05,Copper carbonate	4.50,Bentonite	2.10,,,,,
Alkaline DeepTurquoise Recalc2,03,Turquoise,Tested,Glossy or shiny,Oxidation,Transparent,Frit 3195	38.70,Frit 3110	1.10,Dolomite	1.70,Whiting	6.50,Silica	42.70,Nepheline syenite	9.30,Copper carbonate	4.50,Bentonite	2.20,,,,,,
Alkaline DeepTurquoise Recalc3,03,Turquoise,Tested,Glossy or shiny,Oxidation,Transparent,Frit 5301	58.00,Whiting	9.70,Kaolin - theoretical	3.70,Silica	28.50,Copper carbonate	4.50,Bentonite	2.00,,,,,,,,
Alkaline Gill's Base no GB,04-03,,,Gloss,Oxidation,Transparent,Frit 3110	48.80,Frit 3134	13.00,Silica	11.60,Nepheline syenite	25.60,Bentonite	2.00,,,,,,,,,
Alkaline Matt,04,Blue,Untested,matte,Oxidation,,Frit 3110	50.00,China clay	10.00,Flint	10.00,Whiting	10.00,Barium carbonate	15.00,Zinc oxide	5.00,Copper carbonate	2.00,,,,,,,
Alkaline Matt Opaque,04-03,White,,Matt,Oxidation,Opaque,Frit 3110	56.00,Nepheline syenite	8.00,Barium carbonate	14.00,Lithium carbonate	6.00,Flint	6.00,EPK	10.00,,,,,,,,
Alkaline Turquoise,03,Transparent Blue Green,Tested,Glossy or shiny,Oxidation,,Frit 3195	18.10,Frit 3110	54.30,Gerstley borate	9.50,EPK	8.60,Flint	9.50,Copper carbonate	4.80,Bentonite	2.00,,,,,,,
Alkaline Turquoise no GB,03,Transparent Blue Green,Untested,Glossy or shiny,Oxidation,,Frit 3134	36.70,Custer feldspar	71.00,Copper carbonate	4.80,Bentonite	2.00,,,,,,,,,,
Amber Assault,04-03,Amber,Tested,Shiny or Glossy,Oxidation,Transparent,Frit 3134	60.00,Wollastonite	2.00,Strontium carbonate	3.00,Kaolin - theoretical	21.00,Flint	0.60,Kona F-4 feldspar	14.00,Bentonite	2.00,,,,,,,
Amber Assault less Al2O3,04-03,Amber,Untested,Shiny or Glossy,Oxidation,Transparent,Frit 3134	62.50,Wollastonite	2.60,Strontium carbonate	3.10,Kaolin - theoretical	13.80,Silica	8.30,Nepheline syenite	9.80,Bentonite	0.80,,,,,,,
Amber Batz,03,Transparent Yellow-brown,Tested,Glossy or shiny,Oxidation,,Frit 3124	86.20,EPK	10.40,Barium carbonate	3.40,Burnt umber	7.00,Bentonite	2.00,,,,,,,,,
Amber Fine Sparkle,04-03,Amber,,Gloss,Oxidation,Translucent,Frit P-25	63.41,Silica	8.13,Lithium carbonate	8.13,EPK	4.07,Nepheline syenite	8.13,Spodumene	8.13,Bentonite	1.63,Red iron oxide	10.00,,,,,,
Amber Revision,03,Transparent Yellow-honey,Tested,Glossy or shiny,Oxidation,,Frit 3289	504.00,Frit 3124	3852.00,EPK	529.00,Whiting	115.00,Bentonite	100.00,Burnt umber	350.00,,,,,,,,
Amber tint Charile Cummings,1,Amber,,Gloss,Oxidation,Transparent,Frit 3124	80.00,Redart	20.00,,,,,,,,,,,,
Andy's Water Blue,06-04,,,,,,Gerstley borate	5.80,EPK	7.20,Frit 3110	76.90,Flint	10.10,,,,,,,,,,
Aventurine,04,Iron Red,Untested,Glossy,Oxidation,,Frit 5301	100.00,Bentonite	3.00,Red iron oxide	20.00,,,,,,,,,,,
Aventurine Chrome Cr309,04-03,Green with blue,,Gloss,Oxidation,Opaque,Colemanite	53.00,Plastic vitrox	25.00,Nepheline syenite	25.00,Chrome oxide	7.00,,,,,,,,,,
Aventurine Circular Dot,5,Brown,,Gloss,Oxidation,Transparent,Nepheline syenite	24.00,Sodium bicarbonate	29.00,Whiting	11.00,Silica	36.00,Fluorspar	2.00,Macaloid	1.00,Red iron oxide	22.00,,,,,,,
Aventurine Copper Metal,04,Brown,,Gloss,Oxidation,Transparent,Frit 3819	85.00,Gerstley borate	15.00,Red iron oxide	26.00,,,,,,,,,,,
Aventurine Ferro Frit 2,04,Brown,,Gloss,Oxidation,,Frit 3269	70.00,Boric acid	15.00,Whiting	7.00,Lithium carbonate	3.00,Silica	5.00,Red iron oxide	20.00,Bentonite	1.00,,,,,,,
Aventurine Ferro Frit 2,04,Brown,,Gloss,Oxidation,Transparent,Frit 3269	70.00,Boric acid	15.00,Whiting	7.00,Lithium carbonate	3.00,Silica	5.00,Macaloid	1.00,Red iron oxide	20.00,,,,,,,
Aventurine G131 04,04-03,Brown,,Semi-gloss,Oxidation,Opaque,Borax	57.30,Flint	25.00,Red iron oxide	14.20,Boric acid	3.50,Cobalt carbonate	0.0	99999.00,Copper carbonate	0.0	99999.00,,,,,,,,
Aventurine G133,04-03,Green,,Gloss,Oxidation,Translucent,Borax	45.00,Kona F-4	22.00,Flint	20.00,lead carbonate	10.00,Kaolin	3.00,copper oxide red	4.00,,,,,,,,
Aventurine Metallic Copper,04,Brown,,Gloss,Oxidation,Transparent,Gerstley borate	75.00,Silica	25.00,Red iron oxide	24.00,,,,,,,,,,,
Aventurine Root Beer Sparkle,04,Brown,,Gloss,Oxidation,Transparent,Frit 3819	90.00,Whiting	10.00,Macaloid	1.00,Red iron oxide	24.00,,,,,,,,,,
Axner Base,03 - 04,Opaque White,Untested,?,oxidation,,Ferro frit 3124	65.70,F-4 feldspar	17.20,Kaolin	10.80,Nepheline syenite	6.20,Tin oxide	5.00,Zircopax	10.00,Bentonite	2.00,,,,,,,
B.B.,04,,Untested,Matt,Oxidation,,Frit 3304	6426.00,Georgia kaolin	530.00,Zinc oxide	1044.00,,,,,,,,,,,
Base Charlie Cummings Color,1-3,,,Gloss,Oxidation,,Frit 3134	50.00,Tile 6 clay	20.00,Flint	30.00,,,,,,,,,,,
Base Chris's Crackle-Free Alkaline,04-03,Clear,,Gloss,Oxidation,Transparent,Frit 3110	57.70,Frit 3134	25.00,EPK	7.20,Silica	10.10,Bentonite	2.00,,,,,,,,,
Base Glaze #1,04-03,,,Gloss,Oxidation,Transparent,Frit 3124	75.00,EPK	15.00,Silica	10.00,,,,,,,,,,,
Base Glaze 04,04,Opaque White,Untested,Shiny or Glossy,Oxidation,,Ferro frit 3124	40.00,Gerstley borate	30.00,Neph Sy	25.00,Flint	5.00,Zircopax	8.00,,,,,,,,,
Base Glaze 2,04-03,,,Gloss,Oxidation,,Frit 3195	88.20,EPK	11.80,,,,,,,,,,,,
Base Jenks,04-03,,,Satin matt,Oxidation,Semi-opaque,Lithium carbonate	23.00,Whiting	11.00,Zinc oxide	5.00,Kona F-4 feldspar	40.00,EPK	18.00,Flint	2.00,Bentonite	2.00,,,,,,,
Base KC,04,Clear,,Gloss,Oxidation,Transparent,Frit 3195	85.00,EPK	10.00,Flint	5.00,,,,,,,,,,,
Base Mottled Semi-Gloss no 3185,04,White,Untested,Semi-gloss,Oxidation,Translucent,Potash feldspar - theoretical	8.90,Strontium carbonate	4.80,Zinc oxide	7.80,Kaolin - theoretical	17.40,Frit 3134	45.20,Silica	15.90,,,,,,,,
Base Mottled Semi-Gloss no GB,04,White,Tested,Semi-gloss,Oxidation,Translucent,Feldspar	38.80,Wollastonite	17.50,Zinc oxide	7.80,Strontium carbonate	4.80,Kaolin - theoretical	4.40,Frit 3185	25.00,,,,,,,,
Batz Adjusted 05,05,White,,Gloss,Oxidation,Opaque,Frit 3124	80.00,Whiting	6.00,EPK	14.00,Zircopax	15.00,,,,,,,,,,
Bead Bob Shay's,04,white base,Untested,textured beads,oxidation,Opaque,Magnesium carbonate	33.30,Borax	26.70,Gerstley borate	33.30,Flint	6.70,Manganese dioxide	6.70,,,,,,,,,
Bead White,06,White,,Bead,Oxidation,Opaque,Borax	3.80,Gerstley borate	46.50,Magnesium carb	31.00,EPK	18.60,Zircopax	5.40,,,,,,,,,
Beaded,04-03,,untested,Waxy,Oxidation,Opaque,Gerstley borate	9.00,Soda ash	11.00,Dolomite	9.00,Magnesium carb	25.00,EPK	31.00,Flint	15.00,,,,,,,,
Beads Black,06,Black,Untested,"shiny, textured beads",ox,Opaque,Barnard clay	53.40,Custer feldspar	8.60,Borax	15.30,Dolomite	0.20,Whiting	4.80,Lithium carbonate	6.10,Soda ash	1.20,EPK	1.50,Flint	8.80,Red iron ox	0.60,,,,
Bill Shillalies' Metallic Death Glaze,02-6,Metallic bronze,,Metallic,Oxidation,Opaque,Copper oxide	4.00,Cobalt oxide	2.00,Manganese dioxide	35.00,Ball clay	4.00,Redart	46.00,Flint	4.00,Red iron oxide	2.00,Rutile	3.00,,,,,,
Black Adams,04-03,Black,,,Oxidation,Opaque,Nepheline syenite	24.60,Gerstley borate	15.20,Barium carbonate	17.80,Lithium carbonate	9.70,Flint	24.60,EPK	8.00,,,,,,,,
Black Darby's Base no GB,04,Black,Tested,Gloss,Ox. or Red.,Opaque,Spodumene	42.00,Silica	19.00,Frit 3134	39.00,Bentonite	2.00,,,,,,,,,,
