,Graze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13
0,Blue lithium,010-09,Blue,,Semi-gloss,Ox. or Red.,Opaque,Flint	40.40,Soda spar	20.20,Cryolite	15.20,Lithium carbonate	10.10,Bone ash	8.10,Kaolin	3.00,Copper oxide	3.00,,,,,,
1,Yellow Lewis,10,,,Satin matt,Reduction,,Feldspar	35.00,Ball clay	22.00,Flint	5.00,Barium carbonate	25.28,Opax	15.00,Red iron oxide	6.00,,,,,,,
2,Blue Limestone,10,,,Semi-gloss,Reduction,,Kaolin	9.50,Whiting	19.00,Silica	28.60,Feldspar	38.10,Barium carbonate	4.80,Rutile	4.80,Copper carbonate	1.60,Cobalt carbonate	1.90,Bentonite	2.00,,,,
3,Purple Chun,10,Red-purple,,Gloss,Reduction,Opaque,Custer feldspar	26.00,Flint	29.50,Whiting	15.10,EPK	1.80,Ball clay	5.60,Soda ash	7.10,Frit 3134	11.30,Barium carbonate	4.00,Tin oxide	1.10,Copper carbonate	0.50,,,
4,Matt Strontium Crystal Magic Steven Hill,10,White,,Satin matt,Reduction,Opaque,Custer feldspar	46.00,Whiting	17.30,Tile 6 clay	14.90,Strontium carbonate	12.60,Frit 3124	4.60,Lithium carbonate	4.60,Titanium dioxide	13.80,Bentonite	2.00,,,,,
5,#207.3,8,varies - see comments,,Gloss,Oxidation,,Nepheline syenite	35.00,Dolomite	15.00,Whiting	8.00,Barium carbonate	8.00,EPK	4.00,Silica	30.00,Bentonite	3.00,,,,,,
6,Albany Glaze,9 - 10,,,,,,Albany slip	63.16,Cornwall Stone	26.32,Whiting	10.53,Red iron oxide	5.26,,,,,,,,,
7,Albany Slip substitute Hendley's,7 - 10,brown black,,glossy,ox. or red.,,Redart	72.00,Whiting	10.00,Soda feldspar	8.00,Talc	5.00,EPK kaolin	5.00,,,,,,,,
8,Alkaline High Fire 1,9-10,Clear,,Gloss,Ox. or Red.,Transparent,Feldspar	62.50,Whiting	7.70,EPK	5.10,Flint	24.60,,,,,,,,,
9,Alkaline high fire 2,10,,,Gloss,Ox. or Red.,Transparent,Feldspar	20.00,Cornwall Stone	50.00,Whiting	15.00,Flint	15.00,,,,,,,,,
10,Alkaline high fire 2 no cs,10,,,Gloss,Ox. or Red.,Transparent,Feldspar	51.71,Whiting	16.27,Dolomite	0.32,Silica	26.89,Kaolin - theoretical	6.71,,,,,,,,
11,Alkaline Lee Rexrode,9,White,,Satin matt,Oxidation,Semi-opaque,Barium carbonate	36.60,Lithium carbonate	1.10,Nepheline syenite	45.60,Ball clay	7.20,Flint	9.50,,,,,,,,
12,Alkaline Lee Rexrode Sr,9,White,,Satin matt,Oxidation,Translucent,Strontium carbonate	27.50,Lithium carbonate	1.10,Nepheline syenite	45.60,Ball clay	7.20,Flint	9.50,,,,,,,,
13,Amber Barnard,10,Amber,,Gloss,Reduction,Transparent,Barnard clay	33.00,Wollastonite	13.00,Whiting	15.00,Custer feldspar	20.00,Gerstley borate	3.00,,,,,,,,
14,Amber Celadon,9 - 10,"Amber, honey, brown",Untested,Glossy,Reduction,,Albany Slip	36.00,Custer feldspar	22.00,Gerstley borate	3.00,Wollastonite	14.00,Whiting	8.00,Flint	14.00,EPK	3.00,Yellow Ochre	9.00,,,,,
15,Amber Celadon McKenzie Smith,9-10,Amber,,Gloss,Reduction,Transparent,Wood ash	22.00,Whiting	17.00,Custer feldspar	41.00,Ball clay	4.00,Flint	17.00,Red iron oxide	8.00,Bentonite	2.00,,,,,,
16,Amber Celadon Nick's Ochre,10,Amber,,Gloss,Reduction,Transparent,Custer feldspar	26.50,Whiting	22.20,Flint	25.60,Ball clay	25.60,Yellow ochre	8.00,,,,,,,,
17,Amber Celadon no  Albany,9 - 10,"Amber, honey, brown",Untested,Glossy,Reduction,,Kaolin - theoretical	15.00,Custer feldspar	28.00,Dolomite	4.00,Whiting	19.00,Silica	30.00,Frit 3134	3.00,Red iron oxide	3.00,,,,,,
18,Amber Celadon no albany,9 - 10,"Amber, honey, brown",Untested,Glossy,Reduction,,Kaolin - theoretical	12.00,Custer feldspar	29.00,Dolomite	4.00,Whiting	20.00,Silica	30.00,Frit 3195	5.00,Red iron oxide	3.00,,,,,,
19,Amber Celadon VC no albany,10,Amber,,Gloss,Reduction,Translucent,Custer feldspar	19.00,Gerstley borate	3.00,Dolomite	2.00,Wollastonite	9.00,Whiting	14.00,Redart	29.00,Barnard clay	10.00,EPK	2.00,Flint	10.00,Red iron oxide	2.00,,,
20,Amber Celadon w/Alberta Slip,10,,,Gloss,Reduction,Transparent,Alberta slip	35.50,Wollastonite	14.00,K-200 feldspar	21.50,Gerstley borate	3.20,Whiting	7.50,EPK	3.20,Silica	15.10,Yellow ochre	7.50,Bentonite	6.50,,,,
21,Amber Gulden's,10,Amber,,Gloss,Reduction,Translucent,Custer feldspar	30.00,Whiting	25.00,Flint	25.00,Kentucky OM #4	10.00,Gerstley borate	3.00,Bentonite	2.00,Yellow iron oxide	7.00,,,,,,
22,Amber Gulden's no GB,10,Amber,,Gloss,Reduction,Translucent,feldspar - theoretical	25.60,Whiting	26.60,Silica	30.90,Kaolin - theoretical	7.70,Frit 3124	9.20,Bentonite	2.00,Yellow iron oxide	7.00,,,,,,
23,Amber Shaner Celadon ARAC,9-10,Amber,,Gloss,Reduction,Transparent,Albany slip	35.90,Wollastonite	14.10,EPK	3.30,Gerstley borate	3.30,Whiting	7.60,Flint	14.10,Custer feldspar	21.70,Yellow ochre	8.70,,,,,
24,Amber Shaner Celadon ARAC Alberta,9-10,Amber,,Gloss,Reduction,Transparent,Alberta slip	77.00,Gerstley borate	3.00,Whiting	14.00,Silica	6.00,Yellow ochre	8.00,,,,,,,,
25,Amber Shaner Celadon ARAC no albany,9-10,Brown,Tested,Gloss,Reduction,Transparent,EPK	14.00,Dolomite	5.00,Whiting	19.00,Silica	29.00,Custer feldspar	27.00,Frit 3134	6.00,Yellow ochre	8.00,,,,,,
26,Amber stable test 1,10,Amber,,Gloss,Reduction,Transparent,Feldspar	47.90,Whiting	14.70,Strontium carbonate	11.00,Kaolin - theoretical	9.80,Silica	16.60,Red iron oxide	8.00,Bentonite	2.00,,,,,,
27,Amber stable test 2 w/bone ash,10,Amber,,Gloss,Reduction,Transparent,Feldspar	47.70,Strontium carbonate	11.00,Kaolin - theoretical	9.80,Silica	16.50,Bone ash	15.10,Red iron oxide	8.00,Bentonite	2.00,,,,,,
28,Amber theoretical 3,10,Amber,Untested,Gloss,Reduction,Transparent,Nepheline syenite	34.10,Lithium carbonate	2.00,Whiting	12.10,Strontium carbonate	5.90,Kaolin - theoretical	1.20,Silica	44.60,Red iron oxide	8.00,Bentonite	2.00,,,,,
29,Anderson Blue,9 - 10,"black to green, blue",,matte,reduction,,Soda feldspar	57.13,EPK	14.26,Kentucky OM #4	7.18,Whiting	21.44,Cobalt carbonate	7.18,,,,,,,,
30,Andreson Pearl,10,light robin's egg blue,,gloss stable,,,Gerstley borate	13.00,Whiting	8.70,Zinc oxide	2.20,Custer spar	59.40,Ball clay	3.80,Barium carbonate	13.00,Tin oxide	7.60,Copper carbonate	0.50,,,,,
